country;major area;minor area;centroid (lat);centroid (long);distance (km)
Argentina;La Pampa;Caleu Caleu;-38,67561868;-63,89204079;83,6681312
Argentina;La Pampa;Capital;-36,50450711;-64,1894998;40,91488823
Argentina;La Pampa;Catriló;-36,58865678;-63,66353129;34,94540721
Argentina;La Pampa;Chalileo;-36,39546796;-66,55667563;66,81346076
Argentina;La Pampa;Chapaleufú;-35,22933664;-63,66464421;35,72705058
Argentina;La Pampa;Chical Có;-36,39927803;-67,68519246;70,62318987
Argentina;La Pampa;Conhelo;-36,03794791;-64,50340646;59,76503982
Argentina;La Pampa;Curacó;-38,18537846;-66,311084;86,73381304
Argentina;La Pampa;Guatraché;-37,49402018;-63,77992088;42,59609197
Argentina;La Pampa;Hucal;-37,98722077;-63,9508158;57,55869718
Argentina;La Pampa;Lihuel Calel;-38,26545409;-65,07940184;81,74426782
Argentina;La Pampa;Limay Mahuida;-37,24623189;-66,53651603;70,99160481
Argentina;La Pampa;Loventué;-36,48198218;-65,51780367;69,14549302
Argentina;La Pampa;Maracó;-35,68643376;-63,66228279;35,35397728
Argentina;La Pampa;Puelén;-37,43935263;-67,59263065;113,9460524
Argentina;La Pampa;Quemú Quemú;-36,13877024;-63,66272894;35,18226715
Argentina;La Pampa;Rancul;-35,40392063;-64,79527945;53,4294478
Argentina;La Pampa;Realicó;-35,22922294;-64,21162899;35,7819656
Argentina;La Pampa;Toay;-36,67053473;-64,68275948;58,47540486
Argentina;La Pampa;Trenel;-35,63824165;-64,21162649;31,92489691
Argentina;La Pampa;Utracán;-37,34302697;-65,06845541;91,0649509
Argentina;La Rioja;Arauco;-28,53673775;-66,72395578;43,1508255
Argentina;La Rioja;Capital;-29,46064122;-66,35001247;88,87678671
Argentina;La Rioja;Castro Barros;-28,85998671;-66,91858167;35,44833209
Argentina;La Rioja;Chamical;-30,16636207;-65,95274538;53,8824302
Argentina;La Rioja;Chilecito;-29,3962318;-67,42790825;64,15882219
Argentina;La Rioja;Coronel Felipe Varela;-29,44554889;-68,32343495;82,24501475
Argentina;La Rioja;Famatina;-28,69513602;-67,55872286;52,30002092
Argentina;La Rioja;General Angel Vicente Peñaloza;-30,31304862;-66,66296768;56,59958146
Argentina;La Rioja;General Belgrano;-30,5779606;-65,93702641;48,109644
Argentina;La Rioja;General Juan Facundo Quiroga;-30,81102358;-66,8300578;65,25136977
Argentina;La Rioja;General Lamadrid;-28,79592415;-68,69074464;103,7293417
Argentina;La Rioja;General Ocampo;-31,00717316;-66,0606548;48,32396934
Argentina;La Rioja;General San Martín;-31,64684166;-66,15480603;67,71904989
Argentina;La Rioja;Independencia;-30,1100304;-67,32751452;65,49953439
Argentina;La Rioja;Rosario Vera Peñaloza;-31,42574455;-66,67793021;56,53261205
Argentina;La Rioja;San Blas de los Sauces;-28,53772912;-67,15709174;40,93394116
Argentina;La Rioja;Sanagasta;-29,15852788;-67,06588023;35,29860974
Argentina;La Rioja;Vinchina;-28,31019178;-68,52367281;102,6144807
Argentina;Mendoza;Capital;-32,88433832;-68,89418021;7,579998122
Argentina;Mendoza;General Alvear;-35,20485768;-67,08516734;97,56674952
Argentina;Mendoza;Godoy Cruz;-32,93203493;-68,88704395;8,762158581
Argentina;Mendoza;Guaymallén;-32,88159013;-68,71610348;11,9017377
Argentina;Mendoza;Junín;-33,14431794;-68,48194073;20,26210427
Argentina;Mendoza;La Paz;-33,69439293;-67,27298322;76,51328431
Argentina;Mendoza;Las Heras;-32,52205239;-69,26088578;85,72655416
Argentina;Mendoza;Lavalle;-32,57365038;-67,8989106;88,89373133
Argentina;Mendoza;Luján de Cuyo;-33,04028579;-69,45094179;77,21898433
Argentina;Mendoza;Maipú;-32,9829179;-68,65796805;21,9803007
Argentina;Mendoza;Malargüe;-36,15457471;-69,31207756;184,6475198
Argentina;Mendoza;Rivadavia;-33,41652381;-68,60175678;39,91776264
Argentina;Mendoza;San Carlos;-34,07101626;-69,09133651;99,395865
Argentina;Mendoza;San Martín;-32,91171594;-68,28754642;36,12859626
Argentina;Mendoza;San Rafael;-34,94918097;-68,3706334;173,144821
Argentina;Mendoza;Santa Rosa;-33,60773685;-67,9617538;87,00192555
Argentina;Mendoza;Tunuyán;-33,62537553;-69,50192775;47,04855597
Argentina;Mendoza;Tupungato;-33,29301253;-69,30030112;47,34997929
Argentina;Misiones;Apóstoles;-27,88284614;-55,67595133;27,23423566
Argentina;Misiones;Cainguás;-27,14323418;-54,80225093;31,03638411
Argentina;Misiones;Candelaria;-27,4576541;-55,58005509;30,12230046
Argentina;Misiones;Capital;-27,55247589;-55,85765451;30,81476656
Argentina;Misiones;Concepción;-27,92956013;-55,46480844;27,67168427
Argentina;Misiones;Eldorado;-26,31654899;-54,42257527;33,69596124
Argentina;Misiones;General Manuel Belgrano;-26,0137178;-53,96013474;58,96066033
Argentina;Misiones;Guaraní;-27,02718371;-54,26699323;46,71919249
Argentina;Misiones;Iguazú;-25,87765384;-54,4052564;43,37511019
Argentina;Misiones;Leandro N. Alem;-27,62560362;-55,38598362;27,05025991
Argentina;Misiones;Libertador General San Martín;-26,89107612;-54,91686782;30,46763796
Argentina;Misiones;Montecarlo;-26,65596378;-54,56144611;34,85711971
Argentina;Misiones;Oberá;-27,47240114;-55,06924683;36,25715251
Argentina;Misiones;San Ignacio;-27,17360244;-55,33778797;32,71600311
Argentina;Misiones;San Javier;-27,77416968;-55,16430738;22,01658721
Argentina;Misiones;San Pedro;-26,67411153;-53,94993421;56,50354724
Argentina;Misiones;Veinticinco de Mayo;-27,378144;-54,63451568;33,74432029
Argentina;Neuquén;Ñorquín;-37,63685241;-70,6814963;61,15564338
Argentina;Neuquén;Añelo;-38,12677492;-69,01797535;91,835272
Argentina;Neuquén;Aluminé;-39,13707377;-71,06339677;49,35423639
Argentina;Neuquén;Catán Lil;-39,49295803;-70,45693334;51,94757132
Argentina;Neuquén;Chos Malal;-36,88366463;-70,27098889;87,70772695
Argentina;Neuquén;Collón Curá;-40,06407255;-70,29440611;67,48590352
Argentina;Neuquén;Confluencia;-38,84317675;-68,81690685;70,97834517
Argentina;Neuquén;Huiliches;-39,801518;-71,27002328;48,83246706
